iter	Passed	Remaining
0	141	141503
1	143	71789
2	147	48937
3	150	37477
4	153	30585
5	156	25969
6	159	22671
7	162	20183
8	165	18245
9	167	16593
10	170	15362
11	173	14320
12	177	13444
13	179	12661
14	181	11937
15	184	11331
16	186	10797
17	189	10317
18	191	9889
19	192	9436
20	195	9105
21	198	8804
22	200	8516
23	202	8246
24	204	7993
25	207	7760
26	209	7540
27	211	7337
28	213	7158
29	215	6965
30	217	6794
31	218	6595
32	219	6437
33	220	6278
34	222	6134
35	224	6003
36	226	5887
37	228	5780
38	230	5668
39	231	5552
40	232	5442
41	233	5337
42	234	5220
43	235	5125
44	237	5036
45	238	4950
46	239	4865
47	241	4781
48	243	4720
49	245	4656
50	246	4584
51	247	4512
52	247	4429
53	248	4362
54	250	4299
55	251	4239
56	252	4179
57	253	4122
58	254	4066
59	256	4011
60	257	3964
61	259	3927
62	261	3882
63	262	3836
64	263	3789
65	263	3734
66	265	3690
67	265	3645
68	267	3604
69	268	3563
70	269	3524
71	270	3485
72	271	3447
73	273	3417
74	274	3391
75	276	3364
76	277	3332
77	279	3299
78	280	3267
79	281	3237
80	282	3206
81	283	3176
82	284	3146
83	285	3118
84	287	3089
85	288	3067
86	290	3050
87	292	3028
88	293	3004
89	294	2978
90	295	2955
91	297	2931
92	298	2907
93	299	2884
94	300	2861
95	300	2832
96	301	2810
97	303	2790
98	305	2777
99	307	2763
100	307	2736
101	308	2718
102	309	2698
103	311	2680
104	312	2662
105	313	2643
106	314	2620
107	315	2602
108	315	2580
109	316	2563
110	318	2547
111	319	2535
112	321	2523
113	322	2509
114	323	2493
115	325	2478
116	326	2463
117	327	2448
118	328	2432
119	329	2417
120	330	2403
121	332	2389
122	333	2375
123	334	2362
124	336	2354
125	337	2344
126	339	2332
127	340	2320
128	341	2307
129	342	2294
130	344	2282
131	345	2270
132	346	2257
133	347	2246
134	348	2234
135	349	2219
136	351	2213
137	353	2207
138	355	2198
139	356	2188
140	357	2177
141	358	2166
142	359	2155
143	360	2144
144	361	2134
145	363	2124
146	364	2113
147	365	2105
148	367	2099
149	368	2087
150	370	2080
151	371	2071
152	372	2061
153	373	2052
154	374	2042
155	375	2033
156	376	2023
157	378	2015
158	379	2006
159	380	1996
160	382	1993
161	384	1988
